jobname,money,company_name,p_bot,industry,job_bt
人工智能&算法工程师,20k-40k,侃家,"20k-40k,经验不限,硕士",O2O / B轮,"
职位描述：

人工智能 & 算法工程师

团队介绍：
数据是当今最宝贵的资源，居理新房成立至今，积攒海量数据，大数据团队应运而生。
在房地产行业，大数据和深度学习的结合是一个崭新的方向，应用空间广阔。
公司内部大数据和深度学习刚小试牛刀，就已发挥了至关重要的价值。

工作职责： 
1、负责大规模离线/实时/在线机器学习算法的框架设计和开发，提升算法平台计算性能和可行性，推动深度学习技术在房地产行业的应用；  
2、应用深度学习、迁移学习、强化学习等解决房地产行业中具体业务问题，包括图像和语音识别、语义分析、图像和文本内容理解、内容生成等；

工作要求：
1、硕士以上学历，计算机视觉、机器学习、数据挖掘、自然语言处理、语音识别等领域的计算机科学、电子工程或其它人工智能相关专业毕业；
2、在深度学习领域有实际的应用经验，至少熟悉掌握常用深度学习框架中的一种； 
3、优秀的机器学习算法基础 ；
4、有深度学习学术或工程项目经验者优先考虑。

"
（高级）自然语义理解工程师-人工智能方向,15k-30k,乐视,"15k-30k,经验3-5年,本科",移动互联网 / 上市公司,"
职位描述：

职位描述：
1.  研究自然语言处理领域的前沿技术
2.  从事智能电视领域语义分析算法、自然语言处理相关技术和方法的研发；
3. 负责将自然语义理解的算法应用到智能人机对话产品中，解决实际问题；
4. 从系统应用的角度,利用自然语言处理的理论和方法解决文本关键信息抽取，语义项抽取，浅层语义理解等问题。利用监督或无监督的方法完成文本自聚类以及文本领域分类等常规问题。提取文本关键信息，结合搜索引擎动态更新语料库。及时跟踪最新的自然语言处理的方法，利用规则加统计的方法提升语义理解的准确性。跟踪机器学习的最新方法完成智能人机对话中的状态跟踪，前后文本相关的多轮对话理解等创新性问题。
5. 语料库维护,知识图谱构建与维护
职位要求：
1. 自然语言处理、模式识别、机器学习相关方向，计算机本科以上学历
2. 至少具有1年以上自然语言处理相关经验，包括语法分析、句法分析、文本分类/聚类、问答系统、对话系统等。
3. 具备良好的C/C++编程能力
4. 文本处理方面的深度学习技术使用经验者优先
5. 良好的抗压能力和团队协作精神

"
产品经理-人工智能方向,15k-30k,猎户星空,"15k-30k,经验1-3年,本科","移动互联网,硬件 / A轮","
职位描述：

工作职责：
1、策划和实现AI产品方向相关的调研、规划、分析、设计、落地。
2、调研和分析AI有关产品及竞品的产品和趋势。
3、和技术团队紧密结合，开发AI新功能，推进技术研发。
任职要求：
1、一年以上产品经验，有从0到1的产品开发过程者优先。
2、跟进AI在app落地，推进并保证功能项目顺利上线。
3、快速的学习能力，高效的执行力和解决问题能力，清晰的逻辑能力和沟通表达能力。
4、对互联网产品有广泛的兴趣和实践经验，看好人工智能领域，对人工智能有独到见解。

"
人工智能研究员,10k-20k,中国信通院,"10k-20k,经验不限,本科","信息安全,移动互联网 / 不需要融资","
职位描述：

岗位职责:1、从事人工智能相关技术研究、标准制定、行业研究、评估测试、安全评测等工作；  2、负责搭建人工智能实验环境平台，并开展人工智能硬件、软件、平台、上层应用等测试工作；3、支撑部委及地方政府，撰写人工智能相关政策及报告； 4、参加国际、国内标准会议，制定人工智能评估评测、产品和服务的性能、功能等标准。
任职资格:1、具有深厚的计算机或软件相关专业知识，取得相关专业本科以上学位；2、熟悉Tensorflow、Caffe等人工智能框架，或者机器学习、深度学习等关键技术，或具有人工智能应用相关研发和测试工作经验；3、熟练使用Linux等操作系统，熟悉Python等语言优先； 4、英语能力：通过CET-6，具有较强的听说读写能力。 5、有人工智能产业研究经验者优先。另外：1、对待工作严谨认真，沟通能力较强；具备良好的协调和组织能力，能够合理地进行时间管理，能够承受高强度工作压力； 2、工作积极主动，具有团队合作精神。

"
行业分析师-人工智能方向,10k-20k,以太创服,"10k-20k,经验1-3年,本科",金融 / B轮,"
职位描述：

职位描述：
 
1、密切关注人工智能行业，特别是相关机器学习、图像识别、语音语义和自动驾驶等领域的行业动态，完成相关产业的调研和行业数据库的整理分析；
 
2、配合项目团队寻找优秀人工智能行业创业者及创业团队，与之建立良好的沟通及合作关系根据已有客户信息，做信息的聚合和总结；
 
3、撰写行业报告并定期对内分享和对外输出。
 
 
任职条件：
 
1、国内外知名院校人工智能、大数据或计算机相关专业毕业，本科及以上学历，若拥有经济、金融、工商管理或者法律等第二专业甚佳；
 
2、对人工智能行业有热情，认可人工智能行业的巨大潜力，学习能力强，有相关行业从业经验优先。

"
人工智能工程师,15k-25k,阿甘金融,"15k-25k,经验1-3年,本科","金融,数据服务 / B轮","
职位描述：

人工智能工程师
岗位职责：
1、从事深度学习、智能决策技术等领域的机器学习算法研发；
2、有人工智能和互联网大数据领域相关工作经验；
3、参与项目技术攻关，促进技术疑难问题的解决；
4、结合应用场景, 综合考虑业务/数据/算法等因素,持续改进和优化产品性能；
5、负责日常领导安排的其他工作。
任职要求：
1、计算机类相关专业，本科以上学历；
2、熟悉深度学习、人工智能、机器学习等技术在大数据领域的应用，有良好的科研能力；
3、熟练使用Python等编程，快速编程能力强；
4、对算法研发有强烈的兴趣；熟练使用英文，能够跟踪最新技术动态；
5、工作认真负责，严谨细致，有良好的创新意识和团队精神。

"
资深交互设计师-人工智能方向,20k-35k,美团点评,"20k-35k,经验3-5年,本科","移动互联网,O2O / D轮及以上","
职位描述：

职位职责：1.     负责智能设备及智能应用相关的产品体验设计；2.     参与产品策划，调研用户行为，分析业务需求，并归纳为用户体验需求；3.     设计用户使用流程，交互界面，输出高保真设计方案，并参与设计规范的制定；4.     跟进开发过程，推动方案落实，并跟进用户实际使用效果及反馈；5.     持续提升产品可用性及用户体验；职位要求：1.     有三年以上交互设计经验，有智能设备或智能应用相关经历者优先；2.     思维逻辑能力强，善于沟通合作，熟练掌握业务需求分析、产品需求分解的方法；3.     能独立完成方案设计，了解一定的用户研究方法和流程，参与用户调研；4.     对智能领域有热情，富有好奇心和探索欲，能主动学习并接受挑战；5.     工业设计、人机交互、 艺术设计、 心理学等相关专业本科及以上学历；6.     建议提交简历时同时提供个人作品集或链接。

"
人工智能负责人,20k-40k,中化能源互联网科技,"20k-40k,经验5-10年,本科","移动互联网,电子商务 / 不需要融资","
职位描述：

 职位描述：
 1、负责公司人工智能（语音识别、人脸识别、深度学习等）技术研发管理工作，组织并带领团队完成公司制定的开发目标； 2、指导并参与核心代码的编写，组织解决项目开发过程中的重大技术问题； 3、对项目开发流程、项目质量和项目开发进度的规划、控制、监督和管理。 4、有效带领技术团队，建立并完善公司各项研发规范及流程； 5、培养下属成员，提高团队整体专业技能。

任职资格：
 1、全日制本科及以上学历，统计分析专业，5年以上人工智能领域设计与研究经验，有团队管理经验； 2、熟悉图像与语音识别、深度学习、人机交互等人工智能领域的业务场景应用，至少在其中一个领域有深入研究的工作经验； 3、熟悉OpenCV、Caffe、Tensorflow等深度学习框架，熟悉主流Python开发语言，有3D人脸识别或自然语言处理等经验者优先；  4、在深度学习框架上、有知识图谱构建、智能问答交互产品研发经验优先配置管理等。
职位重点： 1、薪酬：不限 2、过往经历中必须要有人工智能产品的实际经验，最好是有产品已经上市销售的

"
人工智能-数学老师（兼职）,16k-32k,慕课网,"16k-32k,经验3-5年,不限","移动互联网,教育 / 不需要融资","
职位描述：

慕课网招募兼职讲师，负责创作在线视频内容。

介绍：
主要面向转型工程师、学生，专门针对人工智能、大数据、数据分析开设的基础数学必修课。

要求：

计算机、数学相关专业，熟悉计算机编程中对数学的应用，语言表达能力强 逻辑性强 

有讲课经验或大会分享经验的优先。

"
人工智能及知识图谱工程师,15K-30K,百科名医网,"15K-30K,经验3-5年,本科","移动互联网,医疗健康 / A轮","
职位描述：

【岗位职责】
1.负责垂类大规模知识图谱库的构建；
2.负责知识图谱底层引擎的架构设计以及实现；
3.负责从半结构化或无结构的大数据上构建知识图谱；
4.负责基于知识图谱的智能推荐及智能问答等系统研发；

【任职条件】
1、自然语言处理、计算机、数学、统计及相关专业本科以上学历； 
2、熟悉一门语言：Python、Java等；
3、熟悉数据结构和算法设计；
4、熟悉知识图谱、机器学习、自然语言理解的实现及相关开源工具包；
5、有信息抽取、机器学习、大数据相关工程项目实践经验者优先；
6、有医疗行业数据工程项目经验者优先。

"
人工智能研究员/工程师,25k-50k,百度,"25k-50k,经验3-5年,硕士","移动互联网,数据服务 / 不需要融资","
职位描述：

工作职责    -在人工智能各领域进行深入研究    -提出新算法，解决人工智能在实践中面临的问题    -参与AI领域的世界顶级学者竞争，参与比赛，撰写论文    -保持并推进百度在人工智能领域的领先地位任职资格    -有人工智能各领域的相关研究经验，有高水平论文发表者优先    -关注并了解机器学习算法，自然语言理解，知识图谱，图像与视觉等领域的现状与最新进展，并在其中一个领域有实践经验，并保持对前沿的深刻理解    -了解深度学习，概率推理，图模型，强化学习，对抗学习等工具的基本原理，并在其中一个领域做到深入理解    -对现实问题有较强的数学建模能力    -有较强实践能力，能够实际实现算法、系统，并进行可重复性的实验    -热爱人工智能领域，具有激情，愿意在此领域进行深入研究    -对理论的完善与算法效果有极致追求    -对业界前沿的相关技术嗅觉敏锐    -逻辑思维和表达能力出色，快速理解，并快速传递信息

"
人工智能/数据挖掘/机器学习/算法工程师,25k-50k,网易,"25k-50k,经验3-5年,硕士","电子商务,移动互联网 / 上市公司","
职位描述：

职位描述：
1、负责基于海量用户数据，研究用户行为，开发用户画像；2、负责设计新闻精准投放，个性化推荐等算法，提高产品用户体验和新闻排序效果；3、负责各算法和模型的分布式实现（离线，在线），丰富并行算法库；4、负责提供系统设计和代码文档；5、参与数据清洗和过滤、特征抽取、参数选择、算法实验、效果分析。
资格要求：
1、硕士或博士学历，计算机、应用数学、模式识别、人工智能、自控、统计、运筹学等专业；2、2年以上相关工作经验；3、对机器学习、概率统计，最优化等算法原理及其在互联网行业的应用有深入的理解和浓厚的兴趣；4、有推荐系统、精准营销、精准广告、信息检索等方面的实际工作经验；5、有大规模分布式计算平台的使用和并行算法的开发经验；6、熟练掌握至少一种编程语言，Java、Scala、C++、R、Python；7、熟悉Linux工作环境。

"
人工智能开发工程师(MJ000667),25k-50k,沪江,"25k-50k,经验1-3年,本科","移动互联网,教育 / D轮及以上","
职位描述：


工作职责：
1.利用深度学习技术进行前沿人工智能技术研发；进行人工智能相关前沿算法的研究，包括机器学习、知识图谱等技术的研究；
2.负责深度学习，强化学习平台的选型，框架搭建，开发及优化
3.探索研究人工智能在自适应学习的应用；开发基于互联网教育大数据的人工智能应用系统和平台。
4.开发自然语言处理（NLP）应用系统，负责模型算法的工程化实现、服务接口的实现。 
任职资格：
1.专业不限、背景不限；仅限对人工智能、机器学习及互联网教育有浓厚兴趣和充满热情，有的责任心、好奇心。
2.熟悉深度神经网络的常用模型（CNN、RBN、RCNN、DNN等），并能够将其应用特定场景中；熟练掌握常用的统计机器学习算法（神经网络、逻辑回归、决策树、SVM、Boosting等）
3.具有熟练的编程能力，熟悉Java或C++或Python、主流开发框架，有大型项目的开发经验和工作能力。
4.有机器学习的算法基础和经验优先，有NLP经验优先，熟练使用Caffe、Theano、Torch、Tensorflow等任一种主流的深度学习框架优先。


"
