jobname,money,company_name,p_bot,industry,job_bt
自然语言处理工程师,20k-40k,泛微,"20k-40k,经验1-3年,本科","移动互联网,企业服务 / 上市公司","
职位描述：

1、利用相关技术和算法，提供文本分析相关的基础方案与服务；
2、针对海量文本内容进行中文分词、语义识别、自动聚类等文本挖掘工作；
3、负责搭建相关的机器学习 & 大数据计算平台；
4、负责数据和业务的紧密集合。

岗位要求：
1、熟练掌握自然语言处理NLP相关理论与技术方法；
2、熟练掌握使用java，数学正则，至少掌握一种脚本语言；
3、熟悉中英文分词、词性标注、实体识别、句法分析、自动文本分类，关键值提取等自然语言处理技术，熟悉语义分析方法和技术（相似度计算、本体理论、语义推理等）；
4、熟悉人机对话的前沿方向和研究方向；
5、熟悉了解人工智能、机器学习等领域的前沿方向与研究动向；
6、具备将机器学习与自然语言处理的理论转化为实践的能力；
7、具有相关项目研发经验者（项目主要参与人员）优先；

"
自然语言处理、语音助手资深算法工程师/专家,20k-40k,美团点评,"20k-40k,经验3-5年,本科","移动互联网,O2O / D轮及以上","
职位描述：

职位描述
职位描述：1.负责对话系统的研究和开发；2.将对话系统的最新研究成果应用于外卖垂直领域，开发外卖语音交互解决方案任职资格：1.3年以上自然语言处理相关研发经验2.有扎实的自然语言处理和机器学习的技术基础3.有过对话管理相关技术、意图解析、对话生成、知识图谱等研发经验者优先4.有过深度学习研究经验者优先

"
自然语言处理工程师,11k-22k,知网,"11k-22k,经验不限,硕士","移动互联网,电子商务 / 上市公司","
职位描述：

岗位职责     负责自然语言的相关算法的研发任务    海量数据的处理与挖掘    在上级的领导和监督下定期完成量化的工作要求    能独立处理和解决所负责的任务    根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务    进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量     岗位要求      1.熟悉分词，语义分析，信息抽取等自然语言处理基础算法和应用      2.熟悉分类，聚类，情感分析，关联规则挖掘，协同过滤等常用机器学习和数据挖掘算法      3.对搜索引擎有一定了解      4.熟悉python、c++至少一门语言开发，有扎实数据结构和算法基础      5.有较强的系统设计和编程能力      6.计算机科学、数学、统计等相关专业优先
 

"
NLP工程师（自然语言）,20k-40k,Gridsum 国双,"20k-40k,经验3-5年,本科","数据服务,企业服务 / 上市公司","
职位描述：

工作职责：
1、针对海量文本内容进行中文分词、语义识别、自动文本聚类和情感分析等文本挖掘的工作；
2、为公司产品加入文本挖掘功能，在实际场景中有效运用成熟的文本挖掘算法，将文本挖掘技术产品化；
3、参与小组的产品设计讨论，共同讨论和设计产品。

任职要求：
1、自然语言处理相关专业毕业，熟练掌握自然语言处理领域的基础理论和方法，熟悉中文分词、语义分析、文本聚类、情感分析等基础算法和应用；
2、拥有编程能力，可以通过编写程序实现和运用文本挖掘的算法解决实际问题，拥有根据实际情况调整和优化文本挖掘算法的能力，以达到最终的商业目标；
3、拥有实际的文本挖掘的项目经验；
4、熟悉软件开发流程和配置库的使用，拥有软件开发流程中的代码规范意识、配置管理规范意识、文档撰写规范意识和团队合作沟通交流意识。

"
NLP工程师,17k-34k,中邮消费,"17k-34k,经验不限,本科","移动互联网,金融 / 未融资","
职位描述：

1、利用自然语言处理/NLP和机器学习算法对海量数据进行挖掘分析，包括但不限于文本聚类、语义理解、信息抽取、知识图谱、对话生成等；
2、参与开发自然语言对话系统的后端服务应用。

"
NLP工程师,20k-30k,秒针系统,"20k-30k,经验1-3年,硕士","数据服务,广告营销 / D轮及以上","
职位描述：


工作职责：    1. 利用相关技术和算法，提供文本分析相关的基础方案与服务；2. 针对海量文本内容进行中文分词、语义识别、自动聚类等文本挖掘工作； 任职要求1. 硕士及以上学历，计算机、统计等相关专业，对数据敏感。2. 熟悉中英文分词、词性标注、实体识别、句法分析、自动文本分类，关键值提取等自然语言处理技术，熟悉语义分析方法和技术（相似度计算、本体理论、语义推理等）。3. 具备将机器学习与自然语言处理的理论转化为实践的能力。4. 熟悉python/Java/C之一的编程语言具备以下任意一项要求优先：5. 熟悉人工智能、知识图谱、深度学习等领域的前沿方向与研究动态，并具备实现论文能力。6. 熟悉hive、hbase、es、spark等大数据存储技术。


"
自然语言处理工程师,20k-40k,笨鸟社交,"20k-40k,经验3-5年,硕士",企业服务 / B轮,"
职位描述：

自然语言处理工程师
基于机器学习的自然语言处理，提取标签化信息，推荐系统开发。

"
自然语言处理,20k-40k,蓦然认知科技,"20k-40k,经验1-3年,硕士",移动互联网 / A轮,"
职位描述：


【职位内容】
1. 负责后端服务的研发和维护，策略/算法的迭代升级；2.相关领域的数据挖掘和自动更新；3.支持产品线的效果迭代。

【职位要求】
1. 至少有 自然语言处理/信息检索/机器学习/数据挖掘/数学 之一的专业背景或相关项目经历  
2. 数据结构基础扎实，了解常用算法
3. 熟悉C++编程语言，或能尽快上手 
4. 熟悉Linux开发环境，熟练使用至少一种脚本语言shell/awk/python/perl
5. 善于思考，有较强的分析与解决问题的能力 
6. 踏实，上进，有较强的沟通协作能力 
 
【关于蓦然认知科技】
我们是一家专注于认知计算，自然语言理解技术的初创公司，对外提供人机协作，智能对话整体解决方案，是国内唯一家能够全语音完成复杂任务的决策引擎；该决策引擎可为机器人，智能硬件等设备制造商提供流畅的人机对话，精准的语义理解，以及知识推理和自动化服务对接功能。可以全语音全自动完成车载交互，家居交互，客服问答等工作，并可以替代特定场景下的人工服务，如餐馆服务员，公司前台和客服，场馆导游，个人助理等，是一个可以快速移植，实时学习，多场景融合的机器人交互及决策系统。
 
【公司文化】
创新：一直以来人工智能赋予了人类无限遐想的空间，蓦然认知鼓励每一个加入的合作伙伴都需要拥有丰富的想象力和创造力来与未来世界对话
专注：人工智能的领域太过广泛，我们推崇执着和专注，打造全球最大的中文交互决策引擎
唯实：我们相信实践是检验真理的唯一标准，人工智能的前沿科技是为了更好的帮助人类解决实际问题
 
【公司福利】
加入我们，你将与顶级的自然语言处理专家共同打造全球最大的中文交互决策引擎
加入我们，你将与来自不同领域的伙伴们一起合作，提高技术、市场、产品的全方位领导力

"
算法工程师-NLP,25k-50k,海知智能,"25k-50k,经验3-5年,本科","移动互联网,数据服务 / A轮","
职位描述：

【岗位职责】
1.  负责自然语言处理、深度学习在海量文本处理及挖掘中的应用，包括财经信息抽取，新闻主题发现，文本相关度模型，知识图谱构建，文本摘要等；
2.  负责深度学习在机器人对话领域的工作，包括用户问答意图分析，上下文对话理解，知识图谱，任务型/闲聊机器人等。
【任职资格】
1.  从事过任务型/闲聊/问答机器人或深度学习nlp相关项目，可以独立开展项目工作，有一定的抗压能力；
2.  熟悉机器学习、自然语言基础算法，有深度学习项目经验者优先；
3.  熟悉NLP领域一些开源的算法库或工具，比如：tensorflow(keras)，stanfordNLP，NLTK，ApacheOpenNLP，Kaldi,mahout,word2vec等；
4.  有文本分类，舆情/情感分析、知识图谱，问答系统，自然语言处理、深度学习，人工智能、海量数据处理与挖掘经验优先；
5.  良好的团队合作精神，较强的沟通能力。
 【几个重要问题】
1.   公司会非常重视这个职位？作为公司所有产品平稳落地的技术和业务测试支撑，未来走技术专家、还是管理路线，公司都会支持，提供你想要的舞台；
2.  哪类人特别适合？对人工智能和机器人方向有强烈的兴趣，能够适应创业的苦和累，有责任心，有较强的学习能力并付诸实际行动；
3.  哪类人特别不适合？只是想找一个码农的工作，没有明确的工作目标，惧怕挑战；
4.  需要应聘者做什么准备？做个有心人，不要没有任何准备就来面试了
【企业价值观】
GROWTH MODEL Goal： 结果导向，不讲苦劳讲功劳不论资排辈 
Respect：尊重以及值得尊敬
Open：开放心态，一切皆有可能 
Win-win：双赢以及多赢；待人如己，换位思考 
Trust：信任以及令人信任，做靠谱的事儿成靠谱的人 
Happy： 痛并快乐着，不断超越自我取得更大成就 
【说明】 1、“兴趣+主动+聪明”，比“当前的能力”要重要10倍。这样的人，在我们团队的成长会非常快，因为你可以直接来争取“想做的事情/职位”，公司一定竭尽所能的给你锻炼机会，只要你能对你自己负责，把事情真正做到位。但如果是“推一下、动一下”的人，我们一定不会要。 
2、对于特别优秀的人才，薪酬范围可不局限在此薪酬范围，期权可谈

"
NLP自然语言处理工程师,20k-40k,一下科技,"20k-40k,经验1-3年,本科","移动互联网,文化娱乐 / D轮及以上","
职位描述：

 职位职责：
1、为推荐、搜索、广告等功能设计和实现高质量的基础特征（Category,Topic, Entity等）
2、对用户以及用户的反馈（动作、评论）建模，快速定位问题与收集数据，设计解决方案，提升产品体验
职位要求：
1、具备强悍的编码能力，有扎实的数据结构和算法功底
2、熟悉Linux开发环境，熟悉Python/Java/C++语言
3、熟悉自然语言处理常见算法与模型（语言模型、MaxEnt/CRF, pLSA/LDA, w2v, CNN/RNN等）
4、参与或主导过NLP项目（如中文分词、文本分类、文本聚类）
5、对使用NLP技术解决实际问题尤为感兴趣者优先

"
